customer_id,customer_name,segment,region,branch_id,risk_tier,opened_date
C001,Northwind Manufacturing,commercial,NA-NE,NYC-042,medium,2021-03-14
C002,Summit Retail Group,small_business,NA-W,SFO-007,low,2020-07-09
C003,Arbor Family Trust,wealth,NA-NE,BOS-015,low,2019-01-22
C004,Blue Harbor Importers,commercial,EMEA,LON-018,high,2022-09-30
C005,Beacon Foods,small_business,NA-SE,ATL-011,medium,2023-05-17
C006,Juniper Digital,commercial,NA-W,SEA-004,medium,2021-11-06
C007,River City Co-op,consumer,NA-SE,ATL-011,low,2024-02-02
C008,Atlas Travel,small_business,EMEA,LON-018,high,2022-04-12
C009,Maple Medical,commercial,NA-NE,NYC-042,low,2018-12-19
C010,Sunset Builders,small_business,NA-W,SFO-007,medium,2023-10-23

